,highly_variable
KDF1,False
TRNP1,False
TENT5B,False
SLC9A1,False
AL590640.1,False
WDTC1,False
TMEM222,False
SYTL1,False
MAP3K6,False
FCN3,False
CD164L2,False
GPR3,False
WASF2,False
FO393419.2,False
BX293535.1,False
AHDC1,False
FGR,False
LINC02574,False
IFI6,False
AL445490.1,False
AL020997.5,False
FAM76A,False
STX12,False
AL020997.2,False
AL020997.3,False
AL020997.4,False
PPP1R8,False
THEMIS2,False
RPA2,False
SMPDL3B,False
AL512288.1,False
XKR8,False
EYA3,False
PTAFR,False
DNAJC8,False
ATP5IF1,False
AL353622.1,False
AL353622.2,False
SESN2,False
MED18,False
PHACTR4,False
RCC1,False
SNHG3,False
TRNAU1AP,False
SNHG12,False
TAF12,False
RAB42,False
LINC01715,False
AL360012.1,False
GMEB1,False
YTHDF2,False
OPRD1,False
AL009181.1,False
EPB41,False
TMEM200B,False
AL357500.1,False
SRSF4,False
MECR,False
AL590729.1,False
PTPRU,False
LINC01756,False
AC092265.1,False
AL645944.2,False
LINC01648,False
AL137076.1,False
AL161638.2,False
AL161638.1,False
MATN1,False
MATN1-AS1,False
AL137857.1,False
LAPTM5,False
AL137027.1,False
LINC01778,False
AL445235.1,False
SDC3,False
PUM1,False
NKAIN1,False
SNRNP40,False
ZCCHC17,False
AL451070.1,False
FABP3,False
SERINC2,False
LINC01226,False
AC114488.1,False
TINAGL1,False
HCRTR1,False
PEF1,False
AC114488.2,False
AC114488.3,False
COL16A1,True
ADGRB2,False
AL354919.2,False
SPOCD1,False
AL354919.1,False
AL136115.2,False
PTP4A2,False
AL136115.1,False
AL136115.3,False
KHDRBS1,False
AL445248.1,False
TMEM39B,False
KPNA6,False
AL049795.2,False
TXLNA,False
CCDC28B,False
AL049795.1,False
IQCC,False
DCDC2B,False
TMEM234,False
EIF3I,False
FAM167B,False
LCK,False
HDAC1,False
MARCKSL1,False
AL109945.1,False
TSSK3,False
FAM229A,False
BSDC1,False
ZBTB8B,False
ZBTB8A,False
ZBTB8OS,False
RBBP4,False
SYNC,False
AC114489.1,False
KIAA1522,False
YARS,False
S100PBP,False
FNDC5,False
HPCA,False
TMEM54,False
AL031602.2,False
RNF19B,False
AL020995.1,False
AK2,False
AZIN2,False
TRIM62,False
AL662907.3,False
ZNF362,False
AL513327.3,False
A3GALT2,False
AL513327.1,False
PHC2,False
AL513327.2,False
ZSCAN20,False
CSMD2,False
HMGB4,False
CSMD2-AS1,False
C1orf94,False
AC099565.1,False
SMIM12,False
GJB5,False
GJB4,False
AL121988.1,False
GJB3,False
GJA4,False
AL122010.1,False
DLGAP3,False
TMEM35B,False
ZMYM6,False
ZMYM1,False
AL590434.1,False
SFPQ,False
ZMYM4,False
ZMYM4-AS1,False
KIAA0319L,False
NCDN,False
AC004865.2,False
TFAP2E,False
PSMB2,False
C1orf216,False
CLSPN,True
AL354864.1,False
AGO4,False
AGO1,False
AL139286.3,False
AL139286.2,False
AGO3,False
AL138787.2,False
TEKT2,False
ADPRHL2,False
COL8A2,False
TRAPPC3,False
MAP7D1,False
THRAP3,False
SH3D21,False
EVA1B,False
AL591845.1,False
STK40,False
LSM10,False
OSCP1,False
MRPS15,False
CSF3R,True
AL596257.1,False
AC117945.2,False
