,highly_variable
LINC02599,False
LINC02847,False
AC022915.1,False
AC022915.3,False
EFCAB1,False
AC100805.1,False
SNAI2,False
AC013701.2,False
AC044893.2,False
PPDPFL,False
AC044893.1,False
AC090155.2,False
AC090155.1,False
AC113145.1,False
AC023762.1,False
SNTG1,False
AC090539.1,False
AC012413.1,True
PXDNL,False
AC090186.1,False
PCMTD1,False
AC103769.1,False
AC064807.1,False
AC064807.4,False
AC064807.2,False
AC064807.3,False
ST18,True
AC021915.2,False
AC021915.1,False
AC103831.1,False
ALKAL1,False
RB1CC1,False
AC113139.1,False
NPBWR1,False
AC009646.2,False
OPRK1,False
AC131902.1,False
AC022034.3,False
AC022034.1,False
AC022034.4,False
ATP6V1H,False
RGS20,False
AC113194.1,False
TCEA1,False
AC100821.2,False
LYPLA1,False
MRPL15,False
AC027250.2,False
SOX17,False
RP1,False
AC084834.1,False
XKR4,False
AC022679.2,False
AC022679.1,False
AC090200.1,False
TMEM68,False
TGS1,False
LYN,False
AC018607.1,False
RPS20,False
CERNA3,False
MOS,False
PLAG1,False
CHCHD7,False
AC107952.2,False
SDR16C5,False
PENK,False
AC012349.1,False
LINC00968,False
AC013644.1,False
AC009597.1,False
IMPAD1,False
LINC01606,False
AC025674.2,False
LINC00588,False
AC068075.1,False
AC068075.2,False
AC090796.1,False
AC104051.1,False
AC104051.2,False
LINC01602,False
AC012103.1,False
FAM110B,False
AC104350.1,False
AC027698.1,False
AC092819.3,False
AC092819.1,False
AC092819.2,False
UBXN2B,False
CYP7A1,False
SDCBP,False
NSMAF,False
TOX,True
AC105150.1,False
AC090152.1,False
AC087664.1,False
AC087664.2,False
AC021393.1,False
CA8,False
LINC01301,False
RAB2A,False
AC068389.3,False
AC068389.1,False
AC068389.2,False
CHD7,False
AC113143.1,False
AC113143.3,False
AC022182.1,True
AC022182.2,False
CLVS1,True
AC023866.2,False
AC023866.1,False
ASPH,False
AC091173.1,False
LINC02842,False
AC025524.1,False
LINC02155,False
AC023095.1,False
NKAIN3,True
AC018861.2,False
AC090577.1,False
NKAIN3-IT1,False
AC120042.1,False
GGH,False
AC120042.2,False
TTPA,False
YTHDF3-AS1,False
YTHDF3,False
AC011978.2,False
AC011124.1,False
AC011124.2,False
AC018953.1,False
AC018953.2,False
LINC01414,False
AC069133.1,False
LINC01289,False
MIR124-2HG,False
AC012535.1,False
AC090136.3,False
BHLHE22,False
CYP7B1,False
AC104232.2,False
AC104232.3,False
AC104232.1,False
LINC00251,False
LINC01299,False
AC100814.1,False
ARMC1,False
MTFR1,False
AC055822.1,False
PDE7A,False
AC100812.1,True
DNAJC5B,False
AC084082.1,False
TRIM55,False
CRH,False
LINC00967,False
AC009879.4,False
RRS1-AS1,False
RRS1,False
ADHFE1,False
VXN,False
MYBL1,True
VCPIP1,False
SGK3,False
MCMDC2,False
SNHG6,False
TCF24,False
PPP1R42,True
COPS5,False
CSPP1,False
ARFGEF1,False
AC021321.2,False
AC021321.1,False
CPA6,False
AC022874.1,False
PREX2,False
AC011853.2,False
C8orf34-AS1,False
C8orf34,False
AC083967.1,False
LINC01592,False
AC021785.1,False
LINC01603,False
SULF1,False
SLCO5A1,True
AC091047.1,False
AC079089.1,True
PRDM14,False
NCOA2,False
AC022730.3,False
AC022730.4,False
AC120194.1,False
TRAM1,False
LACTB2-AS1,False
LACTB2,False
XKR9,False
AC022858.1,False
EYA1,False
AC009446.1,False
AC104012.1,False
MSC-AS1,True
MSC,False
TRPA1,False
AC078906.1,False
AC011131.1,False
KCNB2,False
AC013562.1,False
AC090735.1,False
AC022893.2,False
TERF1,False
AC022893.3,False
AC022893.1,False
SBSPON,True
AC100823.1,False
C8orf89,False
RPL7,False
RDH10,False
RDH10-AS1,False
AC111149.1,False
AC111149.2,False
STAU2-AS1,False
STAU2,False
AC027018.1,False
UBE2W,False
AC022868.2,False
ELOC,False
TMEM70,False
LY96,False
AC087672.2,False
AC087627.1,False
AC087672.1,False
JPH1,False
GDAP1,False
AC103952.1,False
MIR2052HG,True
AC115837.2,False
AC011632.1,False
PI15,False
AC011632.2,False
CRISPLD1,False
AC100782.1,False
AC022274.1,False
CASC9,True
HNF4G,False
AC011029.1,False
AC067773.1,False
LINC01111,False
ZFHX4-AS1,False
AC013509.1,False
ZFHX4,False
AC023200.1,False
PEX2,False
AC062004.1,False
AC084706.1,False
PKIA-AS1,True
PKIA,True
AC068700.1,False
AC068700.2,False
ZC2HC1A,False
IL7,True
AC083837.1,False
LINC02605,False
AC138646.1,False
STMN2,False
AC016240.1,False
HEY1,False
LINC01607,False
AC036214.1,False
AC036214.4,False
MRPS28,False
AC036214.2,False
AC009686.2,False
TPD52,True
AC009686.1,False
AC034114.2,False
AC009812.1,False
ZBTB10,False
AC009812.3,False
AC009812.4,False
ZNF704,True
AC012533.1,False
PAG1,False
AC022778.1,False
AC079209.2,False
AC079209.1,False
AC009902.3,False
AC009902.2,False
FABP5,False
AC018616.1,False
PMP2,False
FABP9,False
FABP4,False
AC023644.1,False
FABP12,False
IMPA1,False
SLC10A5,False
ZFAND1,False
CHMP4C,False
AC132219.1,False
SNX16,False
LINC02235,False
AC060765.2,False
LINC02839,False
AC060765.1,False
AC105031.2,False
LINC01419,False
AC015522.1,False
RALYL,False
LRRCC1,False
AC011773.4,False
E2F5,False
AC011773.1,False
RBIS,False
CA13,False
AC011773.3,False
AC011773.2,False
CA1,True
CA3,False
CA3-AS1,False
CA2,False
AC084734.1,False
AC100801.1,False
LINC02849,False
AC100801.2,False
ATP6V0D2,False
PSKH2,False
AC023194.3,False
AC084128.1,False
SLC7A13,False
AC103760.1,False
WWP1,False
RMDN1,False
CPNE3,False
CNGB3,False
AC090572.3,True
AC090572.2,False
CNBD1,False
AF121898.1,False
DCAF4L2,False
AC037450.1,False
MMP16,False
AC090578.1,False
AC090578.2,False
AC090578.3,False
AF117829.1,False
RIPK2,True
OSGIN2,False
NBN,False
DECR1,False
CALB1,False
AC004083.1,False
LINC00534,True
LINC01030,False
TMEM64,False
AC106038.1,False
NECAB1,False
AC103770.1,False
C8orf88,False
PIP4P2,False
AC087439.1,False
AC087439.2,False
OTUD6B-AS1,False
OTUD6B,False
LRRC69,False
SLC26A7,True
AC103409.1,False
RUNX1T1,True
AF181450.1,False
AC022695.2,False
AC022695.3,False
AC091096.1,False
AC104211.2,False
AC104211.4,False
AC104211.1,False
AC104211.3,False
AC117834.2,False
AC117834.1,False
TRIQK,False
C8orf87,False
LINC00535,False
AC016885.1,False
AC016885.2,False
FAM92A,False
AC120053.1,False
AC010834.3,False
RBM12B,False
AC010834.1,False
AC010834.2,False
TMEM67,False
AC084346.1,False
PDP1,False
MIR378D2HG,False
AP003351.1,False
CDH17,False
GEM,True
RAD54B,False
FSBP,True
VIRMA,False
AC023632.5,False
AC023632.2,False
AC108860.2,False
ESRP1,False
DPY19L4,False
AP003692.1,False
INTS8,False
CCNE2,False
AC087752.4,False
NDUFAF6,False
TP53INP1,False
AC087752.3,False
AC068189.2,False
MIR3150BHG,False
AC068189.1,False
PLEKHF2,False
C8orf37-AS1,True
LINC01298,False
C8orf37,False
AC083836.1,False
AC012339.1,False
AP003465.2,False
GDF6,False
UQCRB,False
AP003465.1,False
MTERF3,False
PTDSS1,False
AP003548.1,False
SDC2,False
CPQ,False
AP003117.2,False
AP003117.1,False
AP003115.1,False
TSPYL5,False
AP002982.2,False
MTDH,False
LAPTM4B,False
MATN2,False
RPL30,False
AP003352.1,False
ERICH5,False
RIDA,False
POP1,False
NIPAL2,False
STK3,False
KCNS2,False
AP003355.2,False
AP003467.1,False
AC016877.3,False
OSR2,False
VPS13B-DT,False
AC016877.1,False
VPS13B,False
AC107909.2,False
AC107909.1,False
AC018442.2,False
COX6C,False
AC105328.1,False
RGS22,False
FBXO43,False
POLR2K,False
SPAG1,False
RNF19A,False
AP001574.1,False
AP003472.1,False
AP003472.2,False
AP000424.1,False
AP000424.2,False
ANKRD46,False
SNX31,False
AP001205.1,False
PABPC1,False
AC027373.1,False
YWHAZ,False
AC018781.1,False
AP003469.2,False
AP003469.1,False
AP003469.3,False
AP003469.4,False
ZNF706,False
AP001330.4,False
LINC02844,False
AP001330.5,False
AP001330.1,False
LINC02845,False
AP001208.1,False
AP001207.3,False
GRHL2,False
NCALD,True
AP000426.1,False
RRM2B,False
UBR5-AS1,False
UBR5,False
AP002907.1,False
AP002852.1,False
ODF1,False
KLF10,False
AP002851.1,False
GASAL1,False
AZIN1,False
AP003696.1,False
AZIN1-AS1,False
AP003354.1,False
AP003550.1,False
ATP6V1C1,False
LINC01181,False
BAALC-AS2,False
BAALC,False
BAALC-AS1,False
AC025370.1,False
FZD6,False
AC025370.2,False
CTHRC1,False
AC012213.3,False
SLC25A32,False
DCAF13,False
AC012213.2,False
AC012213.4,False
AC012213.1,False
RIMS2,False
DPYS,False
DCSTAMP,False
AP003471.1,False
LRP12,False
ZFPM2,False
AC012564.1,False
AC021546.1,False
ZFPM2-AS1,False
AC103853.1,False
AC103853.2,False
AC090802.1,False
AC027031.1,False
AC027031.2,False
OXR1,False
AC090579.1,False
ABRA,False
AP000428.2,False
AP000428.1,False
ANGPT1,True
AC091010.1,False
AC025508.1,False
RSPO2,False
EIF3E,False
AC087620.1,False
EMC2,False
AC022634.2,False
TMEM74,False
AC104248.1,False
TRHR,False
NUDCD1,False
AC021237.1,False
ENY2,False
PKHD1L1,False
EBAG9,False
SYBU,True
AC079061.1,False
KCNV1,False
AC027451.1,False
AC073023.1,False
AC025366.1,False
AP005357.1,False
LINC01608,False
LINC01609,False
AC009930.1,False
LINC02237,False
AC022360.2,False
CSMD3,False
AC024996.1,False
AC055788.2,False
AC055788.1,False
AC103993.1,False
AC064802.1,False
TRPS1,True
AF178030.1,False
LINC00536,False
AC090994.1,False
AC105177.1,False
EIF3H,False
UTP23,False
RAD21,False
RAD21-AS1,False
AARD,False
SLC30A8,True
AC027419.2,False
AC084114.1,False
MED30,False
EXT1,True
SAMD12,True
AC023590.1,True
SAMD12-AS1,False
TNFRSF11B,False
COLEC10,False
AC107953.2,False
MAL2,False
MAL2-AS1,False
AC021733.4,False
CCN3,False
AC021733.2,False
ENPP2,True
TAF2,False
AP005717.2,False
DSCC1,False
AP005717.1,False
DEPTOR,False
AC091563.1,False
COL14A1,False
MRPL13,False
MTBP,False
SNTB1,False
AC104958.1,False
AC104958.2,False
AC068413.1,False
HAS2,False
HAS2-AS1,False
LINC02855,False
AC037486.1,False
SMILR,False
LINC01151,False
AC108136.1,False
AC100872.2,False
AC016405.3,False
AC016405.2,False
ZHX2,False
AC016405.1,False
AC104316.2,False
AC104316.1,False
DERL1,False
TBC1D31,False
AC068228.3,False
FAM83A,False
AC068228.1,False
FAM83A-AS1,False
C8orf76,False
ZHX1,False
ATAD2,False
WDYHV1,False
FBXO32,False
AC090193.1,False
AC135166.1,False
KLHL38,False
ANXA13,False
FAM91A1,False
FER1L6,False
AC090753.1,False
FER1L6-AS1,False
AC100871.2,False
FER1L6-AS2,False
AC090921.1,False
AC090192.2,False
TMEM65,False
TRMT12,False
RNF139-AS1,False
RNF139,False
TATDN1,False
AC090198.1,False
NDUFB9,False
MTSS1,True
AC100858.3,False
LINC00964,True
AC100858.2,False
AC100858.4,False
ZNF572,False
AC009908.1,False
SQLE,False
WASHC5,False
WASHC5-AS1,False
NSMCE2,False
AC084083.1,False
TRIB1,False
AC091114.1,False
AC016074.2,False
AC016074.1,False
LINC00861,False
AC024681.2,False
AC087667.1,False
AC084116.2,False
AC084116.1,False
AC084116.3,False
LRATD2,False
PCAT1,True
AC024382.1,True
CASC19,True
PRNCR1,False
AC018714.2,False
CASC8,True
POU5F1B,False
CCAT2,False
AC104370.1,True
AC108925.1,False
CASC11,False
MYC,False
PVT1,False
AC100822.1,False
LINC00824,False
CCDC26,True
AC103833.2,False
AC011257.1,False
AC103718.1,False
GSDMC,False
AC022973.5,False
FAM49B,False
AC022973.4,False
AC022973.3,False
AC131568.1,False
ASAP1,False
ASAP1-IT2,False
AC009682.1,False
AC139019.1,False
AC090987.1,False
ADCY8,False
AC103726.1,False
AC103726.2,False
AC087341.1,False
AC104257.1,False
EFR3A,False
OC90,False
HHLA1,False
KCNQ3,False
HPYR1,False
LRRC6,False
TMEM71,False
AF228727.1,False
PHF20L1,False
AF230666.2,False
AF230666.1,False
TG,False
SLA,False
AF305872.2,False
CCN4,False
NDRG1,False
ST3GAL1,False
AC103706.1,False
AC133634.1,False
AC090821.2,False
AC110741.1,True
AC105180.2,False
AC105180.1,False
ZFAT,True
ZFAT-AS1,False
AC087045.2,False
AC083843.3,False
AC083843.2,False
AC083843.1,True
AC103764.1,False
LINC01591,False
AC040914.1,False
KHDRBS3,False
LINC02055,False
AC103955.1,False
AC023781.1,False
AC105213.1,False
AC046195.1,False
AC046195.2,False
AC079015.1,False
FAM135B,False
COL22A1,False
AC027541.1,False
AC100807.2,False
AC087354.1,False
KCNK9,False
TRAPPC9,False
AC021744.1,False
PEG13,False
AC107375.1,False
CHRAC1,False
AGO2,False
ERICD,False
PTK2,True
AC100860.1,False
DENND3,False
AC040970.1,False
SLC45A4,False
AC011676.1,False
AC011676.2,False
AC011676.3,True
AC011676.4,False
LINC01300,False
AC100803.3,False
GPR20,False
AC100803.2,False
PTP4A3,False
AC100803.4,False
AC138647.2,False
AC138647.1,False
AC025839.1,False
AC104417.2,False
AC103758.1,False
LINC00051,False
TSNARE1,False
AC134682.1,False
ADGRB1,False
ARC,False
AP006547.1,False
AC108002.2,False
JRK,False
PSCA,False
LY6K,False
LNCOC1,False
THEM6,False
AC108002.1,False
SLURP1,False
LYPD2,True
AC083841.1,False
SLURP2,False
LYNX1,False
LY6D,False
AC083841.2,False
AC083841.3,False
GML,False
CYP11B1,False
CYP11B2,False
LY6E-DT,True
LY6E,False
C8orf31,False
LY6L,False
LY6H,False
GPIHBP1,False
ZFP41,False
GLI4,False
MINCR,False
ZNF696,False
AC138696.2,False
TOP1MT,False
RHPN1-AS1,False
RHPN1,False
AC105118.1,False
MAFA-AS1,False
MAFA,False
ZC3H3,False
AC067930.8,False
AC067930.3,False
GSDMD,False
MROH6,False
AC067930.4,False
NAPRT,False
AC067930.1,True
EEF1D,False
TIGD5,False
PYCR3,False
TSTA3,False
AC067930.2,False
ZNF623,False
ZNF707,False
AC105219.1,False
CCDC166,False
AC105219.3,False
MAPK15,False
AC105219.2,False
FAM83H,False
IQANK1,False
AC105219.4,False
SCRIB,False
PUF60,False
AC234917.3,False
AC234917.1,False
NRBP2,False
AC234917.2,False
EPPK1,False
AC109322.2,False
PLEC,False
PARP10,False
GRINA,False
SPATC1,True
OPLAH,False
AC109322.1,False
EXOSC4,False
GPAA1,False
CYC1,False
SHARPIN,False
MAF1,False
WDR97,False
HGH1,False
MROH1,False
BOP1,False
SCX,False
HSF1,False
DGAT1,False
AC233992.1,False
SCRT1,False
TMEM249,False
SLC52A2,False
FBXL6,False
ADCK5,False
CPSF1,False
AC233992.3,False
SLC39A4,False
VPS28,False
TONSL,False
TONSL-AS1,False
CYHR1,False
AC084125.1,False
KIFC2,False
FOXH1,False
PPP1R16A,False
AC084125.2,False
GPT,False
MFSD3,False
RECQL4,False
AC084125.4,False
LRRC14,False
LRRC24,False
C8orf82,False
ARHGAP39,False
AC084125.3,False
AF186192.1,False
AF186192.3,False
ZNF251,False
ZNF34,False
RPL8,False
ZNF517,False
ZNF7,False
COMMD5,False
AF235103.3,False
ZNF250,False
ZNF16,True
AF235103.1,False
ZNF252P-AS1,False
C8orf33,False
WASHC1,False
AL928970.1,False
FAM138C,False
PGM5P3-AS1,False
AL449043.1,False
LINC01388,False
FOXD4,False
CBWD1,False
AL158832.2,False
DOCK8-AS1,False
DOCK8,False
AL158832.1,False
AL161725.1,False
KANK1,True
AL161725.2,False
AL392089.1,False
AL136979.1,False
DMRT1,False
DMRT3,False
AL358976.2,False
LINC01230,False
DMRT2,False
AL358053.1,False
SMARCA2,False
AL359076.1,False
VLDLR-AS1,False
AL353614.1,False
VLDLR,False
AL450467.1,False
KCNV2,False
PUM3,False
LINC01231,False
RFX3,False
RFX3-AS1,False
AL354977.2,False
AL354977.1,False
GLIS3,True
AL137071.1,False
GLIS3-AS1,False
AL359095.1,True
AL162419.1,False
SLC1A1,False
SPATA6L,False
PLPP6,False
CDC37L1-DT,False
CDC37L1,False
AK3,False
AL353151.2,True
RCL1,False
AL158147.1,False
JAK2,True
IGHEP2,False
INSL6,False
INSL4,False
RLN2,False
RLN1,False
AL135786.2,False
PLGRKT,False
CD274,False
AL162253.2,False
PDCD1LG2,False
AL162253.1,False
RIC1,False
AL136980.1,False
ERMP1,False
KIAA2026,False
MLANA,False
RANBP6,False
AL162384.1,False
IL33,False
TPD52L3,False
UHRF2,False
AL133480.1,False
GLDC,True
AL162411.1,False
LINC02851,False
AL354707.1,False
KDM4C,False
AL513412.1,False
AL161443.1,False
AL157703.1,False
AL354694.1,False
DMAC1,False
AL135923.2,False
AL135923.1,False
PTPRD,False
AL583805.2,False
PTPRD-AS1,False
AL596451.1,False
AL513422.1,False
PTPRD-AS2,False
AL135790.1,False
AL162413.1,False
AL451129.1,False
AL355672.1,False
AL353595.1,False
AL589678.1,False
TYRP1,False
LURAP1L-AS1,False
LURAP1L,False
AL161449.2,False
MPDZ,False
AL162386.2,False
AL583785.1,False
LINC01235,False
LINC00583,False
AL360089.1,False
NFIB,False
AL136366.1,False
AL137017.1,False
AL159169.3,False
AL159169.2,False
ZDHHC21,False
CER1,False
FREM1,False
AL512643.2,False
AL512643.1,False
TTC39B,False
SNAPC3,False
PSIP1,False
CCDC171,False
C9orf92,False
BNC2,True
AL449983.1,False
AL450003.1,False
BNC2-AS1,False
AL162725.2,False
AL358117.1,False
CNTLN,False
SH3GL2,False
ADAMTSL1,False
AL442638.1,False
SAXO1,False
RRAGA,False
HAUS6,False
PLIN2,False
DENND4C,False
AL161909.2,False
AL391834.1,False
AL391834.2,False
RPS6,False
AL391834.3,False
ACER2,True
AL158206.1,False
SLC24A2,True
AL158077.2,False
AL591222.1,False
MLLT3,True
FOCAD,False
FOCAD-AS1,False
HACD4,False
IFNB1,False
IFNW1,False
IFNA21,False
IFNA4,False
IFNA7,False
IFNA10,False
IFNA16,False
IFNA17,False
IFNA14,False
IFNA5,False
KLHL9,False
IFNA6,False
IFNA13,False
IFNA2,False
AL353732.1,False
IFNA8,False
MIR31HG,True
IFNA1,False
IFNE,False
MTAP,False
AL359922.2,False
CDKN2A-DT,False
CDKN2A,False
CDKN2B-AS1,False
AL449423.1,False
CDKN2B,False
AL157937.1,False
DMRTA1,False
LINC01239,True
AL391117.1,False
AC017067.1,False
AL357614.1,False
AL445623.2,False
AL445623.1,False
ELAVL2,False
AL161628.1,False
AL365204.1,False
AL365204.2,False
AL513317.1,False
IZUMO3,False
AL353811.1,False
AL353730.1,False
TUSC1,False
LINC01241,False
AL353753.1,False
AL451137.2,False
AL356133.2,False
CAAP1,False
PLAA,False
IFT74,False
IFT74-AS1,False
LRRC19,False
AL355432.1,False
TEK,False
EQTN,False
MOB3B,True
AL163192.1,False
AL451123.2,False
IFNK,False
AL451123.1,False
C9orf72,False
AL360014.1,False
AL353746.1,False
LINGO2,True
AL445526.1,False
AL162388.2,False
LINC01242,False
LINC01243,False
ACO1,False
DDX58,False
TOPORS,False
SMIM27,False
NDUFB6,False
TAF1L,False
AL589642.1,False
AL589642.2,False
TMEM215,False
AL157884.2,False
APTX,False
DNAJA1,False
SMU1,False
B4GALT1,False
B4GALT1-AS1,False
SPINK4,False
BAG1,False
CHMP5,False
NFX1,False
AQP7,False
AL356218.2,False
AQP3,False
NOL6,False
AL139008.2,False
ANKRD18B,False
CYP4F26P,False
TRBV20OR9-2,False
TRBV21OR9-2,False
TRBV22OR9-2,False
TRBV23OR9-2,False
TRBV24OR9-2,False
TRBV25OR9-2,False
PTENP1-AS,False
TRBV26OR9-2,False
AL356489.2,False
AL356489.3,False
AL356489.1,False
AL356489.4,False
LINC01251,False
PRSS3,True
UBE2R2-AS1,False
TRBV29OR9-2,False
UBE2R2,False
UBAP2,False
AL354989.1,False
DCAF12,False
UBAP1,False
KIF24,False
NUDT2,False
MYORG,True
C9orf24,False
FAM219A,False
DNAI1,False
ENHO,False
AL160270.1,False
CNTFR,False
CNTFR-AS1,False
RPP25L,False
DCTN3,False
ARID3C,False
SIGMAR1,False
GALT,False
IL11RA,False
CCL27,False
AL162231.1,False
AL162231.2,False
CCL19,False
CCL21,False
FAM205A,False
AL589645.1,False
FAM205C,False
PHF24,False
DNAJB5-DT,True
DNAJB5,False
AL355377.3,False
AL355377.4,False
C9orf131,False
VCP,False
FANCG,False
PIGO,False
AL353795.2,False
STOML2,False
FAM214B,False
UNC13B,False
RUSC2,False
AL133476.1,False
FAM166B,False
TESK1,False
CD72,False
AL357874.2,False
AL357874.1,False
SIT1,False
RMRP,False
CCDC107,False
ARHGEF39,False
CA9,False
TPM2,False
TLN1,False
CREB3,False
GBA2,False
RGP1,False
MSMP,False
AL133410.2,False
AL133410.1,False
NPR2,False
SPAG8,False
HINT2,False
TMEM8B,False
FAM221B,False
OR13J1,False
HRCT1,False
SPAAR,False
AL135841.1,False
OR2S2,False
RECK,True
GLIPR2,False
CCIN,False
CLTA,False
GNE,False
RNF38,False
MELK,True
AL450267.2,False
PAX5,True
AL450267.1,False
AL161781.2,True
LINC01400,False
AL512604.3,False
EBLN3P,False
AL512604.2,False
ZCCHC7,False
LINC01627,False
GRHPR,False
ZBTB5,False
POLR1E,False
AL513165.1,False
FBXO10,False
TOMM5,False
FRMPD1,False
TRMT10B,False
EXOSC3,False
DCAF10,False
SLC25A51,False
SHB,False
AL135785.1,False
ALDH1B1,False
IGFBPL1,False
ANKRD18A,False
FAM201A,False
AL591543.1,False
FAM240B,False
AL845311.1,False
AL953883.1,False
CNTNAP3,False
SPATA31A1,False
FAM74A1,False
BX005214.1,False
BX005214.2,False
GLIDR,False
BX664615.2,False
AL773545.1,False
ANKRD20A2,False
BX664727.3,False
BMS1P14,False
FP325318.1,False
IGKV1OR9-2,False
AL353626.1,False
BX255923.1,False
BX255923.2,False
FOXD4L6,False
CBWD6,False
AL845472.1,False
AL354718.2,False
AL591926.2,False
FAM242F,False
AL162731.1,False
CNTNAP3B,False
SPATA31A6,False
FAM74A7,False
AL445584.2,False
BX088651.4,False
BX088651.2,False
BX664718.1,False
SPATA31A5,False
AL590491.2,False
SPATA31A7,False
BX005040.3,False
BX005040.1,False
CNTNAP3C,False
FAM242D,False
AL935212.1,False
FAM27C,False
AL391987.2,False
AL391987.1,False
AL391987.4,False
AL391987.3,False
FAM242E,False
AL590399.3,False
AL590399.1,False
AL590399.5,False
LINC01189,False
BX005266.2,False
LINC01410,False
AL512625.3,False
AL512625.2,False
LERFS,False
AL512625.1,False
AL772155.1,False
CR786580.1,False
CR769776.3,False
ANKRD20A4,False
IGKV1OR-2,False
IGKV1OR9-1,False
FOXD4L5,False
FP326651.1,False
CBWD5,False
FOXD4L4,False
IGKV1OR-3,False
AL136317.2,False
ANKRD20A3,False
ZNF658,False
AL353770.4,False
AL353770.3,False
SPATA31A3,False
BX664730.1,False
FAM27E3,False
AL627230.3,False
AL627230.1,False
ANKRD20A1,False
AL353608.2,False
CBWD3,False
FOXD4L3,False
AL353608.3,False
AL353608.1,False
PGM5,False
PGM5-AS1,False
AL161457.2,False
AL161457.1,False
TMEM252,False
TMEM252-DT,False
LINC01506,True
PIP5K1B,True
FAM122A,False
AL354794.1,False
PRKACG,False
FXN,False
TJP2,False
BANCR,True
FAM189A2,False
APBA1,False
AL355140.1,False
AL353693.1,False
AL162412.1,False
PTAR1,False
C9orf135-DT,False
C9orf135,False
MAMDC2-AS1,True
MAMDC2,False
SMC5-AS1,True
SMC5,False
AL162390.1,False
KLF9,False
TRPM3,False
AL159990.2,False
AL159990.1,False
CEMIP2,False
ABHD17B,False
C9orf85,False
C9orf57,False
AL583829.1,False
GDA,False
AL135924.2,False
LINC01504,False
ZFAND5,False
TMC1,False
LINC01474,False
ALDH1A1,False
ANXA1,False
AL451127.2,False
AL451127.1,False
AL355674.1,False
RORB-AS1,False
RORB,True
AL137018.1,False
TRPM6,False
C9orf40,False
CARNMT1-AS1,False
CARNMT1,False
AL158825.2,False
NMRK1,False
OSTF1,False
AL353780.1,False
PCSK5,False
RFK,False
GCNT1,False
PRUNE2,False
PCA3,False
AL353637.2,False
FOXB2,False
VPS13A-AS1,False
VPS13A,False
GNA14,False
GNA14-AS1,True
GNAQ,False
CEP78,True
PSAT1,False
AL512634.1,True
LNCARSR,False
TLE4,False
AL161912.1,False
AL161912.2,False
AL161782.1,False
LINC01507,False
AL138749.1,False
TLE1,False
AL591368.1,True
AL158154.2,False
SPATA31D4,False
AL158154.3,False
SPATA31D3,False
SPATA31D1,False
AL162726.1,False
AL162726.4,False
AL353774.1,False
RASEF,False
AL499602.1,False
AL137847.1,False
FRMD3,True
AL137847.2,False
IDNK,False
UBQLN1,False
AL354920.1,False
GKAP1,False
AL354733.1,False
AL354733.2,False
KIF27,False
C9orf64,False
HNRNPK,False
AL354733.3,False
RMI1,False
AL390838.1,False
SLC28A3,False
AL356134.1,False
AL157886.1,False
NTRK2,False
AL354897.1,False
AL354897.2,False
AL583827.1,False
AGTPBP1,False
AL157882.1,False
AL353743.2,False
NAA35,False
GOLM1,False
AL161447.2,False
C9orf153,True
ISCA1,False
TUT7,False
AL158828.1,False
AL353613.1,False
LINC02834,False
GAS1,False
GAS1RR,False
AL513318.2,False
C9orf170,False
AL353752.2,False
DAPK1,False
DAPK1-IT1,False
CTSL,False
AL772337.2,False
SPATA31E1,False
AL353572.3,False
CDK20,False
AL353572.4,False
AL353748.3,False
SPIN1,False
NXNL2,False
LINC02843,False
AL390791.1,False
AL772202.1,False
S1PR3,False
SHC3,False
AL353150.1,False
CKS2,False
SECISBP2,False
SEMA4D,False
AL161910.1,False
GADD45G,False
AL606807.1,False
BX470209.2,False
BX470209.1,False
AL161629.1,False
MIR4290HG,False
LINC01508,False
LINC01501,False
DIRAS2,False
SYK,False
AL162585.1,False
AL355607.1,False
AL355607.2,False
AL158071.4,False
AL158071.3,False
AL158071.1,False
LINC00484,False
AL158071.5,False
AUH,False
NFIL3,False
AL353764.1,False
ROR2,False
SPTLC1,False
AL136097.2,False
IARS,False
NOL8,False
CENPP,True
OGN,False
OMD,False
ASPN,False
ECM2,False
AL157827.2,False
IPPK,False
BICD2,False
AL136981.3,False
ZNF484,False
FGD3,False
SUSD3,False
AL451065.1,False
CARD19,False
NINJ1,False
AL390760.1,False
WNK2,False
C9orf129,False
AL583839.1,False
FAM120AOS,False
FAM120A,False
PHF2,False
AL442224.1,False
BARX1,False
BARX1-DT,False
PTPDC1,False
AL360020.1,False
AL158152.1,False
LINC02603,False
ZNF169,False
NUTM2F,False
AL691447.2,False
MFSD14B,False
AL358232.2,False
PCAT7,False
FBP2,False
FBP1,False
AL157936.1,False
AOPEP,False
AL807757.1,False
AL807757.2,False
AL353768.1,False
AL353768.2,False
FANCC,True
AL354893.2,False
AL161729.3,False
PTCH1,False
AL161729.2,False
AL161729.1,False
AL161729.4,False
AL392185.1,False
AL354861.2,False
LINC00476,False
AL354861.3,False
ERCC6L2,False
LINC00092,False
AL449403.1,False
AL449403.2,False
AL449403.3,False
HSD17B3,False
AL160269.1,False
HSD17B3-AS1,False
SLC35D2,False
ZNF367,False
AL133477.2,False
AL133477.3,False
HABP4,False
CDC14B,True
PRXL2C,False
AL589843.1,False
ZNF510,False
ZNF782,False
MFSD14C,False
NUTM2G,False
CTSV,False
AL590705.3,False
AL590705.1,False
AL590705.2,False
CCDC180,True
AL512590.3,False
TDRD7,False
TMOD1,True
AL162385.1,False
TSTD2,False
NCBP1,False
